Id;Label;Category
4719B;Autres commerces de détail en magasin non spécialisé;G
4721Z;Commerce de détail de fruits et légumes en magasin spécialisé;G
4722Z;Commerce de détail de viandes et de produits à base de viande en magasin spécialisé;G
4723Z;Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé;G
4724Z;Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé;G
4725Z;Commerce de détail de boissons en magasin spécialisé;G
4726Z;Commerce de détail de produits à base de tabac en magasin spécialisé;G
4729Z;Autres commerces de détail alimentaires en magasin spécialisé;G
4730Z;Commerce de détail de carburants en magasin spécialisé;G
4741Z;Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé;G
4742Z;Commerce de détail de matériels de télécommunication en magasin spécialisé;G
4743Z;Commerce de détail de matériels audio et vidéo en magasin spécialisé;G
4751Z;Commerce de détail de textiles en magasin spécialisé;G
4752A;Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2);G
4752B;Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus);G
4753Z;Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;G
4754Z;Commerce de détail d'appareils électroménagers en magasin spécialisé;G
4759A;Commerce de détail de meubles;G
4759B;Commerce de détail d'autres équipements du foyer;G
4761Z;Commerce de détail de livres en magasin spécialisé;G
4762Z;Commerce de détail de journaux et papeterie en magasin spécialisé;G
4763Z;Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé;G
4764Z;Commerce de détail d'articles de sport en magasin spécialisé;G
4765Z;Commerce de détail de jeux et jouets en magasin spécialisé;G
4771Z;Commerce de détail d'habillement en magasin spécialisé;G
4772A;Commerce de détail de la chaussure;G
4772B;Commerce de détail de maroquinerie et d'articles de voyage;G
4773Z;Commerce de détail de produits pharmaceutiques en magasin spécialisé;G
4774Z;Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;G
4775Z;Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;G
4776Z;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;G
4777Z;Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;G
4778A;Commerces de détail d'optique;G
4778B;Commerces de détail de charbons et combustibles;G
4778C;Autres commerces de détail spécialisés divers;G
4779Z;Commerce de détail de biens d'occasion en magasin;G
4781Z;Commerce de détail alimentaire sur éventaires et marchés;G
4782Z;Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés;G
4789Z;Autres commerces de détail sur éventaires et marchés;G
4791A;Vente à distance sur catalogue général;G
4791B;Vente à distance sur catalogue spécialisé;G
4799A;Vente à domicile;G
4799B;Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.;G
4910Z;Transport ferroviaire interurbain de voyageurs;H
4920Z;Transports ferroviaires de fret;H
4931Z;Transports urbains et suburbains de voyageurs;H
4932Z;Transports de voyageurs par taxis;H
4939A;Transports routiers réguliers de voyageurs;H
4939B;Autres transports routiers de voyageurs;H
4939C;Téléphériques et remontées mécaniques;H
4941A;Transports routiers de fret interurbains;H
4941B;Transports routiers de fret de proximité;H
4941C;Location de camions avec chauffeur;H
4942Z;Services de déménagement;H
4950Z;Transports par conduites;H
5010Z;Transports maritimes et côtiers de passagers;H
5020Z;Transports maritimes et côtiers de fret;H
5030Z;Transports fluviaux de passagers;H
5040Z;Transports fluviaux de fret;H
5110Z;Transports aériens de passagers;H
5121Z;Transports aériens de fret;H
5122Z;Transports spatiaux;H
5210A;Entreposage et stockage frigorifique;H
5210B;Entreposage et stockage non frigorifique;H
5221Z;Services auxiliaires des transports terrestres;H
5222Z;Services auxiliaires des transports par eau;H
5223Z;Services auxiliaires des transports aériens;H
5224A;Manutention portuaire;H
5224B;Manutention non portuaire;H
5229A;Messagerie, fret express;H
5229B;Affrètement et organisation des transports;H
5310Z;Activités de poste dans le cadre d'une obligation de service universel;H
5320Z;Autres activités de poste et de courrier;H
5510Z;Hôtels et hébergement similaire;I
5520Z;Hébergement touristique et autre hébergement de courte durée;I
5530Z;Terrains de camping et parcs pour caravanes ou véhicules de loisirs;I
5590Z;Autres hébergements;I
5610A;Restauration traditionnelle;I
5610B;Cafétérias et autres libres-services;I
5610C;Restauration de type rapide;I
5621Z;Services des traiteurs;I
5629A;Restauration collective sous contrat;I
5629B;Autres services de restauration n.c.a.;I
5630Z;Débits de boissons;I
5811Z;Édition de livres;J
5812Z;Édition de répertoires et de fichiers d'adresses;J
5813Z;Édition de journaux;J
5814Z;Édition de revues et périodiques;J
5819Z;Autres activités d'édition;J
5821Z;Édition de jeux électroniques;J
5829A;Édition de logiciels système et de réseau;J
5829B;Edition de logiciels outils de développement et de langages;J
5829C;Edition de logiciels applicatifs;J
5911A;Production de films et de programmes pour la télévision;J
5911B;Production de films institutionnels et publicitaires;J
5911C;Production de films pour le cinéma;J
5912Z;Post-production de films cinématographiques, de vidéo et de programmes de télévision;J
5913A;Distribution de films cinématographiques;J
5913B;Edition et distribution vidéo;J
5914Z;Projection de films cinématographiques;J
5920Z;Enregistrement sonore et édition musicale;J
6010Z;Édition et diffusion de programmes radio;J
6020A;Edition de chaînes généralistes;J
6020B;Edition de chaînes thématiques;J
6110Z;Télécommunications filaires;J
6120Z;Télécommunications sans fil;J
6130Z;Télécommunications par satellite;J
6190Z;Autres activités de télécommunication;J
6201Z;Programmation informatique;J
6202A;Conseil en systèmes et logiciels informatiques;J
