source;target;weight
3230;2511;1
3230;2562;1
3230;2571;1
3230;3250;1
3230;4399;1
3230;4649;1
3230;4665;1
3230;4764;5
3230;7112;1
3230;7912;1
3230;9329;1
3230;9525;1
3240;1629;1
3240;2562;1
3240;3109;1
3240;4649;6
3240;4741;1
3240;4765;3
3240;5819;2
3240;5911;1
3240;9329;2
3250;1396;1
3250;2229;1
3250;2651;2
3250;2660;3
3250;3320;1
3250;4619;1
3250;4646;6
3250;4774;13
3250;5829;1
3250;6820;7
3250;7010;1
3250;7219;1
3250;8121;1
3250;8211;1
3250;8559;1
3250;8690;1
3250;4322;1
3250;4643;1
3250;4778;6
3250;7112;1
3291;4649;1
3299;0161;1
3299;1413;1
3299;1511;1
3299;1729;1
3299;1812;1
3299;2042;2
3299;2053;1
3299;2059;1
3299;2120;1
3299;2223;1
3299;2369;1
3299;2599;1
3299;2620;1
3299;2651;1
3299;2825;1
3299;2829;1
3299;2899;1
3299;3101;1
3299;3109;1
3299;3250;1
3299;3291;1
3299;4332;1
3299;4642;3
3299;4644;1
3299;4646;1
3299;4662;1
3299;4669;1
3299;4669;1
3299;4690;1
3299;4774;1
3299;4776;1
3299;4778;2
3299;4791;1
3299;5610;1
3299;5610;1
3299;7112;3
3299;7410;3
3299;8690;1
3299;9003;2
3311;2511;4
3311;2562;1
3311;2573;1
3311;2573;1
3311;2920;1
3311;3040;1
3311;3312;2
3311;3314;1
3311;3320;8
3311;4322;1
3311;4322;1
3311;4332;2
3311;4661;1
3311;4669;1
3311;6420;1
3312;0161;2
3312;0220;1
3312;2511;2
3312;2562;24
3312;2573;1
3312;2651;1
3312;2670;1
3312;2821;1
3312;2822;2
3312;2829;1
3312;2830;2
3312;2841;3
3312;2920;1
3312;3030;1
3312;3311;4
3312;3313;1
3312;3320;1
3312;3320;18
3312;4120;1
3312;4311;1
3312;4322;1
3312;4322;5
3312;4329;1
3312;4332;2
3312;4511;2
3312;4520;5
3312;4520;1
3312;4532;1
3312;4540;3
3312;4651;1
3312;4661;17
3312;4662;1
3312;4663;2
3312;4669;8
3312;4669;1
3312;4674;1
3312;4674;1
3312;4741;1
3312;4752;3
3312;4778;1
3312;5229;1
3312;5610;2
3312;6630;1
3312;6820;3
3312;7010;1
3312;7112;1
3312;7732;2
3312;7739;1
3312;8020;1
3312;8121;1
3312;8130;1
3312;8211;1
3312;9511;1
3312;9522;1
3312;9529;2
3313;2829;1
3313;2920;1
3313;3250;1
3313;3312;1
3313;3320;1
3313;4520;1
3313;4646;1
3313;4652;3
3313;4669;1
3313;6820;1
3313;9521;1
3313;9522;1
3314;3312;2
3314;3313;1
3314;3320;1
3314;3320;1
3314;3320;1
3314;3320;3
3314;4332;1
3314;4662;1
3314;4669;3
3314;4669;1
3314;4774;1
3314;6203;1
3314;7022;1
3314;8020;1
3314;9522;2
3314;9601;1
3315;2511;1
3315;3011;1
3315;3012;4
3315;3040;1
3315;3312;2
3315;3320;1
3315;3511;1
3315;4614;1
3315;4649;15
3315;4669;3
3315;4764;3
3315;4791;1
3315;5030;1
3315;5222;1
3315;5630;1
3315;7010;1
3315;7721;1
3315;8122;1
3316;3030;3
3316;7311;1
3316;8553;1
3317;2920;1
3317;3311;1
3317;4520;1
3317;8129;1
3319;2219;1
3319;2812;1
3319;2932;1
3319;3220;1
3319;3312;1
3319;3320;1
3319;3832;1
3319;4329;1
3319;4673;2
3319;7739;1
3320;2511;73
3320;2512;1
3320;2529;1
3320;2562;3
3320;2822;1
3320;2825;1
3320;2899;1
3320;3012;1
3320;3101;1
3320;3109;1
3320;3311;18
3320;3312;1
3320;3320;2
3320;3320;1
3320;4120;1
3320;4322;2
3320;4332;1
3320;4391;1
3320;4399;1
3320;4520;1
3320;4649;1
3320;4673;1
3320;6420;1
3320;6820;1
3320;8559;1
3320;2511;1
3320;2790;1
3320;2822;3
3320;2829;1
3320;2893;1
3320;3311;1
3320;3312;11
3320;3320;1
